start,end,soiling_rate,soiling_rate_low,soiling_rate_high,inferred_start_loss,inferred_end_loss,length,valid,mid_date,season,M_num,phase,technology,mount
2013-06-03,2013-06-12,0.0,0.0,0.0,0.7658610109354447,0.9347450129739877,9,False,2013-06-07 12:00:00,dry,1,C,mono-Si,Dual
2013-06-13,2013-06-28,0.0,0.0,0.0,0.8830231475519363,0.9218008407047757,15,False,2013-06-20 12:00:00,dry,1,C,mono-Si,Dual
2013-06-29,2013-07-03,0.0,0.0,0.0,0.8550420427701747,0.8550420427701747,4,False,2013-07-01 00:00:00,dry,1,C,mono-Si,Dual
2013-07-04,2013-07-04,0.0,0.0,0.0,0.8035720644708694,0.8035720644708694,0,False,2013-07-04 00:00:00,dry,1,C,mono-Si,Dual
2013-07-05,2013-07-09,0.0,0.0,0.0,1.0163487364382533,1.0163487364382533,4,False,2013-07-07 00:00:00,dry,1,C,mono-Si,Dual
2013-07-10,2013-08-19,0.0,0.0,0.0,0.8169652434077708,0.8539791998195525,40,False,2013-07-30 00:00:00,dry,1,C,mono-Si,Dual
2013-08-20,2013-08-20,0.0,0.0,0.0,0.0,0.0,0,False,2013-08-20 00:00:00,dry,1,C,mono-Si,Dual
2013-08-21,2013-09-27,0.0,0.0,0.0,0.892915671592207,0.9298008392931341,37,False,2013-09-08 12:00:00,trans,1,C,mono-Si,Dual
2013-09-28,2013-10-16,0.0,0.0,0.0,0.9964207199408581,1.0007563502131072,18,False,2013-10-07 00:00:00,trans,1,C,mono-Si,Dual
2013-10-17,2013-10-23,0.0,0.0,0.0,1.0611321535266327,1.0611321535266327,6,False,2013-10-20 00:00:00,trans,1,C,mono-Si,Dual
2013-10-24,2013-11-16,0.0,0.0,0.0,1.0355744754318095,1.1023666702650408,23,False,2013-11-04 12:00:00,trans,1,C,mono-Si,Dual
2013-11-17,2013-11-17,0.0,0.0,0.0,1.0134828895494017,1.0134828895494017,0,False,2013-11-17 00:00:00,trans,1,C,mono-Si,Dual
2013-11-18,2013-11-18,0.0,0.0,0.0,1.1091867992519404,1.1091867992519404,0,False,2013-11-18 00:00:00,trans,1,C,mono-Si,Dual
2013-11-19,2013-11-19,0.0,0.0,0.0,1.12459560068709,1.12459560068709,0,False,2013-11-19 00:00:00,trans,1,C,mono-Si,Dual
