system_id,status,plr_pct_yr,ci_low,ci_high,n_days,n_years,pi_median,first,last
10005,ok,-4.6606035443912734,-5.584103998620404,-3.045044927060662,1085,4,1.3691468441878802,2018-01-01,2021-12-06
10003,ok,-12.954774525088403,-14.580154309983296,-10.573457945378042,1200,5,1.004663609796269,2018-01-03,2022-07-02
10017,ok,-2.7650086915191774,-3.8717163071338834,-1.587605978285045,1707,6,0.9643140637404348,2018-12-30,2023-12-31
10012,ok,-1.3287053916229363,-2.5774761923271856,-0.2610383105371872,1448,6,1.0861959370068783,2018-01-03,2023-12-31
10001,ok,-1.001503801459545,-2.2117519323412016,-0.1000023198369337,1709,6,1.096334844601098,2018-01-01,2023-03-07
10006,ok,-5.200385485308373,-6.848910059806535,-2.886657954711702,1325,6,1.1182267995034911,2018-12-31,2023-12-31
10000,ok,2.707375306978721,1.5414874800573652,4.33067852096565,1758,6,0.922157840623853,2018-01-01,2023-12-31
10010,ok,0.2970062946800123,-0.6185927776898081,1.5913801963564116,1476,6,1.1927736814638903,2018-01-07,2023-12-31
10020,ok,-3.2245641562800613,-3.856422426822403,-2.4647287625603864,2107,6,1.296466188471714,2018-01-01,2023-12-31
10022,ok,-2.7590084992152986,-3.685167152235525,-1.8698163614954575,2108,6,1.2931912370934917,2018-01-01,2023-12-31
10026,ok,0.9268760093328464,-0.1787559001872256,1.828072096633515,2090,6,1.0177875092364783,2018-01-01,2023-12-31
10024,ok,-4.7898338998678565,-5.5150651656142085,-3.835866407392985,2136,6,0.6969269941230964,2018-01-01,2023-12-31
10027,ok,-2.693801241731941,-3.107371814744553,-2.115017792690066,1973,6,0.4458579299932227,2018-01-01,2023-12-30
10031,ok,-11.4602626810122,-12.914121654111549,-10.52163202731683,1290,4,0.7950272583510813,2018-01-07,2021-12-06
10029,ok,0.4903929850460509,-0.3547920503684632,1.2911705144693864,2038,6,1.044509606140445,2018-01-01,2023-12-31
10030,ok,0.2212268737431534,-1.6960012308536303,1.5004840685681105,1230,4,1.0894503052731728,2018-01-05,2021-12-06
10034,ok,0.8499039970574551,-0.9566247215663936,2.461029085434996,1888,6,1.0991835552442797,2018-01-02,2023-12-31
10036,ok,-8.725291200018617,-9.34763086561199,-7.969831345803882,1874,6,0.5855829831920014,2018-06-01,2023-12-31
10039,ok,-0.2389459384662219,-1.6406201467189965,0.8602598198957812,1456,5,1.0085614204965494,2018-01-05,2022-08-13
10037,ok,0.4642958573019884,-0.97161706365142,1.366271154140819,1756,6,1.1768076949705717,2018-01-01,2023-12-31
10040,ok,-1.262119688239118,-1.8829872292588037,-0.7333222941843665,1875,6,0.6796005609233314,2018-01-19,2023-12-31
10042,ok,8.446518841515715,6.773277506992748,10.351992718643778,1298,6,0.7565227772388519,2018-01-01,2023-03-06
10038,ok,2.444574540865263,0.7906112664023635,3.94368748786782,1617,6,1.0487454154790272,2018-01-01,2023-03-07
10046,ok,1.3288937044852966,0.1513650493738789,2.1295257685377544,2033,6,0.8046261492430149,2018-01-02,2023-12-31
10045,ok,-0.5360418264000252,-1.223966553333383,0.2195370266810881,1991,6,0.6626565267448064,2018-01-01,2023-12-31
10044,ok,-0.8989223122450454,-2.1110632329127634,0.956177063620922,1738,6,1.1754060102047394,2018-01-05,2023-12-31
10047,ok,1.80619270729262,0.5754346504378005,3.07197500783105,1707,6,1.1323733241654843,2018-01-05,2023-12-31
10053,ok,-5.076659553024198,-7.213859629869058,-3.3472795472500483,998,6,1.1514978467196353,2018-01-02,2023-12-31
10048,ok,0.6812416776227737,-0.0833037389387134,1.865682256428075,2085,6,1.0444729757644635,2018-01-01,2023-12-31
10055,ok,-16.78717196852516,-18.60081124285505,-14.83098871116444,959,6,1.070047356753297,2018-01-02,2023-12-31
10054,ok,-1.3731191088386496,-2.2360089749359604,-0.1210031097692798,1634,6,0.9295391249090166,2018-01-12,2023-03-07
10056,ok,-0.8660926468111295,-2.736949250581698,0.4506416819391577,1469,6,1.1669096455518615,2018-01-02,2023-12-31
10058,ok,1.3562382820137442,0.2032411961491966,2.1572461694653544,2036,6,0.8747260571348955,2018-01-01,2023-12-31
10059,ok,3.374693693646691,1.826757434012083,4.763427423077848,1760,6,1.056885693888626,2018-01-01,2023-03-07
10065,ok,1.4333385615902512,0.4059001033701793,2.885399484983152,903,3,0.9287730760430862,2018-01-11,2020-12-10
10062,ok,-1.6529572346938526,-3.571497393146505,-0.1304656185036945,1594,6,0.9769697083933988,2018-01-02,2023-12-31
10067,ok,-0.052591452460049,-0.7284685320344516,0.443389187592369,977,4,1.4658573401126738,2018-01-01,2023-12-31
10064,ok,-0.777158477826223,-1.608983158834243,0.4347276373920516,1817,6,1.1043188008317744,2018-01-06,2023-12-31
10068,ok,-3.44902864762562,-4.168175895064707,-2.688217976733489,851,6,1.4073222529478155,2018-01-02,2023-12-31
10070,ok,-2.6929565436455194,-3.8651107491757264,-1.5165940457485982,2030,6,1.1804728217039182,2018-01-01,2023-12-30
10072,ok,0.2446364560422909,-0.6699659718003792,1.2708099319951094,1532,6,1.254962276528369,2018-01-01,2023-03-07
10074,ok,1.0655913146829787,-0.5150028023813198,2.434295480213522,1854,6,0.6825749551560725,2018-01-09,2023-12-31
10077,ok,-1.2092895960686243,-2.102681214184771,0.928129926998185,1240,6,1.2416460656602402,2018-12-31,2023-12-31
10076,ok,-1.4385441092325202,-2.762175206247608,-0.2230694330085547,1930,6,0.9736284294402138,2018-01-04,2023-12-31
10080,ok,0.1321679385575526,-1.165475489660961,1.5695011886474988,1134,6,1.179188565519916,2018-01-08,2023-03-07
10078,ok,-3.6326569907156734,-4.715851099341749,-2.6578577135344283,1891,6,1.1132593270774829,2018-01-01,2023-12-31
10082,ok,-2.8608232857331384,-4.151758070151357,-0.7970647905249484,1680,6,1.2776041918751324,2018-01-01,2023-12-31
10081,ok,2.5389789528712683,1.247082646238154,4.345131353527898,2030,6,0.9259521472512394,2018-01-01,2023-12-31
10085,ok,-0.3249302202990754,-1.1072229480377134,0.4921411393540409,1721,6,1.330718772150656,2018-12-30,2023-12-31
10086,ok,-4.284879358375315,-5.163704761251009,-3.174554124051497,1981,6,1.0940002363796169,2018-01-01,2023-12-31
10088,ok,1.272241336871034,0.3010306728366552,2.212952737222968,1547,6,1.3019637365172203,2018-01-02,2023-03-07
10093,ok,6.979609333868627,4.777515776584362,10.28565218041631,1491,6,0.8742805513835057,2018-01-10,2023-03-07
10105,ok,-12.81470728557543,-13.795158850496342,-11.522440953967973,1783,6,1.0167858269155552,2018-01-01,2023-12-31
10089,ok,0.9864702661431776,-0.1932576102846547,2.4982734742715285,1548,6,1.1794406280506933,2018-01-04,2023-12-31
10090,ok,-4.662441529352241,-5.794447232692113,-3.648627401997073,1958,6,0.6807954199086591,2018-01-01,2023-10-03
10094,ok,-2.310202314171122,-3.155747103414908,-1.708979540249722,1635,6,0.7142708607291296,2018-12-30,2023-12-31
10098,ok,-1.1945638844225837,-2.5757798615869687,-0.2430454516770666,909,6,1.359034594291707,2018-01-03,2023-03-06
10099,ok,-1.4688019479658108,-2.5091065122336573,-0.5005327340668497,1887,6,0.954602461029684,2018-01-11,2023-12-31
10101,ok,0.6363169891691278,-0.2323016511148745,1.728928060876359,2085,6,1.026562243830931,2018-01-01,2023-12-31
10120,ok,-8.601911863956733,-9.86488545704125,-6.935528301257099,858,3,0.9357647925947754,2018-01-01,2020-11-11
10102,ok,-1.6106664878953736,-2.610668513407721,-0.9982450055283644,2081,6,1.1042069446111502,2018-01-01,2023-12-31
10112,ok,1.6137730113035165,0.2345479683151969,2.451512185002347,953,3,1.2327853937225526,2018-01-01,2020-11-11
10103,ok,-0.2400747188699648,-2.536662234523968,1.8573386824162876,1703,6,0.7460926358883317,2018-01-02,2023-12-30
10123,ok,1.0560328088688564,0.1098579363400187,2.339705014870753,792,3,1.055467862079261,2018-01-10,2020-11-17
10135,ok,-0.5181562970563158,-1.297170865014663,0.0353923040505188,2131,6,1.0692369140929137,2018-01-01,2023-12-31
10117,ok,-2.8200431624353706,-4.24616586957084,-0.809065035833836,805,6,1.2647027410286835,2018-01-01,2023-12-31
