system_id,system_public_name,latitude,longitude,dc_capacity_kW,years,number_records,dataset_size_mb,available_sensor_channels,kg_climate,A_PVCZ_T,A_PVCZ_H,A_MOUNT,A_TRACK,A_TILT,A_AZ,A_CAP,A_VINT,P0_cell,P0_primary_TH
10253,Pvoutput.org chauvin_house,39.013062,-84.49419,1.75,6.0739,631320.0,14.45,2,Cfa,T4,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T4|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T4:H3
10254,Pvoutput.org Sunny Diego,32.744579,-117.132568,4.2,10.8657,1157798.0,26.5,2,Bsk,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10255,Pvoutput.org Spring Texas USA (Workshop),30.09353,-95.422118,6.1,10.8082,858296.0,19.64,2,Cfa,T5,H4,UNKNOWN,fixed,low,south,residential,2010-2014,T5|H4|UNKNOWN|fixed|low|south|residential|2010-2014,T5:H4
10256,Pvoutput.org Myers PV System,39.745098,-122.184269,8.32,8.5698,1002334.0,22.94,2,Csa,T4,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T4|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T4:H3
10257,Pvoutput.org SunpowerDataCenter,39.044509,-76.9133,22.89,10.8602,1274772.0,29.18,2,Cfa,T4,H3,UNKNOWN,fixed,mid,west,commercial,2010-2014,T4|H3|UNKNOWN|fixed|mid|west|commercial|2010-2014,T4:H3
10258,Pvoutput.org Rossmoor Shangri La,33.794028,-118.07218,7.56,10.7643,1041002.0,23.83,2,Csa,T3,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T3:H3
10259,Pvoutput.org Central MD Solar Adventure,39.381295,-77.15867,13.5,8.1589,283820.0,6.5,2,Cfa,T4,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T4|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T4:H3
10260,Pvoutput.org Whit32,42.640813,-73.7856,7.2,8.8082,886026.0,20.28,2,Dfb,T3,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T3:H3
10261,Pvoutput.org EnglishOak,37.804064,-121.91202,11.7,10.0739,1116908.0,25.56,2,Csb,T3,H3,UNKNOWN,fixed,low,west,residential,2010-2014,T3|H3|UNKNOWN|fixed|low|west|residential|2010-2014,T3:H3
10264,Pvoutput.org 1054 House KACO,47.68382,-122.30122,1.5,9.3232,898866.0,20.57,2,Csb,T3,H3,UNKNOWN,fixed,low,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|low|south|residential|2015-2019,T3:H3
10265,Pvoutput.org 8.1 kW solar hemi,43.016012,-74.04702,8.1,10.8164,1403508.0,32.12,2,Dfb,T3,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T3:H3
10266,Pvoutput.org Shady Solar,35.045886,-85.72513,40.328,10.3643,790738.0,18.1,2,Cfa,T5,H3,UNKNOWN,fixed,mid,south,commercial,2010-2014,T5|H3|UNKNOWN|fixed|mid|south|commercial|2010-2014,T5:H3
10267,Pvoutput.org Gunter Home,30.035208,-90.251322,5.25,6.6602,754754.0,17.27,2,Cfa,T4,H4,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H4|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H4
10268,Pvoutput.org Creation Court,28.295714,-82.61782,3.3,10.5424,973480.0,22.28,2,Cfa,T5,H4,UNKNOWN,fixed,mid,west,residential,2010-2014,T5|H4|UNKNOWN|fixed|mid|west|residential|2010-2014,T5:H4
10269,Pvoutput.org norcalhome,37.533538,-122.24602,4.55,9.8931,895190.0,20.49,2,Csb,T4,H3,UNKNOWN,fixed,low,south,residential,2015-2019,T4|H3|UNKNOWN|fixed|low|south|residential|2015-2019,T4:H3
10270,Pvoutput.org La Mancha,35.101727,-106.67238,4.05,9.0356,713518.0,16.33,2,Bsk,T3,H2,UNKNOWN,fixed,low,south,residential,2015-2019,T3|H2|UNKNOWN|fixed|low|south|residential|2015-2019,T3:H2
10271,Pvoutput.org QuarterPV,37.895695,-122.11785,5.61,6.3424,610916.0,13.98,2,Csb,T4,H3,UNKNOWN,fixed,low,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|low|south|residential|2010-2014,T4:H3
10272,Pvoutput.org Hmph photons!,32.856447,-117.21143,4.2,9.1589,1176392.0,26.93,2,Bsk,T4,H3,UNKNOWN,fixed,mid,west,residential,2015-2019,T4|H3|UNKNOWN|fixed|mid|west|residential|2015-2019,T4:H3
10273,Pvoutput.org DeCrescent 178kW PV,42.915904,-73.70539,112.5,10.6602,1606900.0,36.78,2,Dfb,T3,H3,UNKNOWN,fixed,low,south,commercial,2010-2014,T3|H3|UNKNOWN|fixed|low|south|commercial|2010-2014,T3:H3
10275,Pvoutput.org Fridrich Home,34.250459,-119.05317,10.0,8.7479,918814.0,21.03,2,Csb,T4,H3,UNKNOWN,fixed,mid,west,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|west|residential|2010-2014,T4:H3
10277,Pvoutput.org Solar NY,40.765378,-73.45781,10.8,10.652,1107556.0,25.35,2,Cfa,T3,H3,UNKNOWN,fixed,mid,west,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|west|residential|2010-2014,T3:H3
10279,Pvoutput.org jess9kW,33.261748,-117.01027,8.928,10.6054,1147412.0,26.26,2,Csa,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10280,Pvoutput.org HHG-Plano,33.054671,-96.73506,4.59,6.1589,670888.0,15.36,2,Cfa,T5,H3,UNKNOWN,fixed,mid,west,residential,2015-2019,T5|H3|UNKNOWN|fixed|mid|west|residential|2015-2019,T5:H3
10281,Pvoutput.org Solar Bob,32.961014,-117.1251,5.13,10.6219,1124302.0,25.73,2,Bsk,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10282,Pvoutput.org Markus 5kW,33.086868,-96.74504,5.0,6.0739,639892.0,14.65,2,Cfa,T5,H3,UNKNOWN,fixed,mid,north,residential,2015-2019,T5|H3|UNKNOWN|fixed|mid|north|residential|2015-2019,T5:H3
10283,Pvoutput.org Delafield,38.95211,-77.02097,3.0,8.1917,693582.0,15.87,2,Cfa,T4,H3,UNKNOWN,fixed,low,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|low|south|residential|2010-2014,T4:H3
10284,Pvoutput.org Zack,39.539556,-105.009739,4.2,10.1589,1074252.0,24.59,2,Dfb,T2,H1,UNKNOWN,fixed,mid,south,residential,2010-2014,T2|H1|UNKNOWN|fixed|mid|south|residential|2010-2014,T2:H1
10285,Pvoutput.org Keiths Phase 3,47.609222,-122.1155,17.885,6.4164,681236.0,15.59,2,Csb,T3,H3,UNKNOWN,fixed,mid,east,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|east|residential|2010-2014,T3:H3
10286,Pvoutput.org Solar In Saratoga,37.270543,-122.02305,6.5,10.5945,1010534.0,23.13,2,Csb,T5,H2,UNKNOWN,fixed,low,north,residential,2010-2014,T5|H2|UNKNOWN|fixed|low|north|residential|2010-2014,T5:H2
10287,Pvoutput.org MW Tracy,37.72374,-121.447131,3.2,10.641,1087816.0,24.9,2,Csa,T3,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T3:H3
10289,Pvoutput.org DixboroRdSolarBarn,42.45644,-83.66673,8.1,10.6027,1067892.0,24.44,2,Dfa,T3,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T3:H3
10291,Pvoutput.org Blacks on Glenstone,32.899996,-117.20722,4.2,9.7945,1077196.0,24.66,2,Bsk,T4,H3,UNKNOWN,fixed,mid,north,residential,2015-2019,T4|H3|UNKNOWN|fixed|mid|north|residential|2015-2019,T4:H3
10292,Pvoutput.org DJ Home,37.350091,-122.03602,4.6,10.515,880250.0,20.15,2,Csb,T5,H2,UNKNOWN,fixed,low,west,residential,2010-2014,T5|H2|UNKNOWN|fixed|low|west|residential|2010-2014,T5:H2
10293,Pvoutput.org Adams_Cary,35.797882,-78.79702,3.84,8.0739,779642.0,17.84,2,Cfa,T4,H3,UNKNOWN,fixed,low,south,residential,2015-2019,T4|H3|UNKNOWN|fixed|low|south|residential|2015-2019,T4:H3
10294,Pvoutput.org Camp Michigania,45.284366,-85.023249,19.76,6.3095,530614.0,12.14,2,Dfb,T3,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T3:H3
10295,Pvoutput.org Burnham Ct,37.951672,-122.07317,5.75,6.0739,658828.0,15.08,2,Csb,T4,H3,UNKNOWN,fixed,mid,west,residential,2015-2019,T4|H3|UNKNOWN|fixed|mid|west|residential|2015-2019,T4:H3
10296,Pvoutput.org Harmon Heliacal Home,34.12716,-117.20073,5.12,6.3068,580130.0,13.28,2,Csa,T3,H3,UNKNOWN,fixed,mid,west,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|west|residential|2010-2014,T3:H3
10297,Pvoutput.org czechmate,42.482755,-71.313578,6.21,10.5095,1290472.0,29.54,2,Dfa,T3,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T3:H3
10300,Pvoutput.org Raven PV,47.71828,-122.19702,9.99,10.3095,1130240.0,25.87,2,Csb,T3,H3,UNKNOWN,fixed,low,west,residential,2010-2014,T3|H3|UNKNOWN|fixed|low|west|residential|2010-2014,T3:H3
10301,Pvoutput.org Syler & Yoshis House,37.720931,-122.44241,4.0,10.463,1084016.0,24.81,2,Csb,T3,H3,UNKNOWN,fixed,high,north,residential,2010-2014,T3|H3|UNKNOWN|fixed|high|north|residential|2010-2014,T3:H3
10302,Pvoutput.org House-Offset,37.451688,-122.18385,5.025,8.3013,994412.0,22.76,2,Csb,T4,H3,UNKNOWN,fixed,mid,west,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|west|residential|2010-2014,T4:H3
10303,Pvoutput.org Burger System,40.853343,-73.20777,8.4,6.8849,246846.0,5.65,2,Cfa,T3,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T3:H3
10304,Pvoutput.org Torrey Highland,32.960438,-117.166814,3.9,10.5369,1152208.0,26.37,2,Bsk,T4,H3,UNKNOWN,fixed,mid,west,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|west|residential|2010-2014,T4:H3
10305,Pvoutput.org waheedonism,37.658898,-121.87149,9.75,10.441,1105840.0,25.31,2,Csb,T3,H3,UNKNOWN,fixed,low,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|low|south|residential|2010-2014,T3:H3
10306,Pvoutput.org Cobblefield,30.284511,-81.47043,7.56,10.4383,974576.0,22.31,2,Cfa,T5,H4,UNKNOWN,fixed,mid,south,residential,2010-2014,T5|H4|UNKNOWN|fixed|mid|south|residential|2010-2014,T5:H4
10307,Pvoutput.org Maplewood house,40.728901,-74.26821,6.1,10.5178,873548.0,19.99,2,Cfa,T3,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T3:H3
10308,Pvoutput.org Torrey Hills - Reed,32.946776,-117.21918,7.92,10.3506,1124472.0,25.74,2,Bsk,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10309,Pvoutput.org MH-15,37.527237,-121.9679,8.25,10.4246,361458.0,8.27,2,Csb,T4,H3,UNKNOWN,fixed,low,west,residential,2010-2014,T4|H3|UNKNOWN|fixed|low|west|residential|2010-2014,T4:H3
10310,Pvoutput.org Record Solar Plant,36.970151,-122.042275,2.925,5.2219,514364.0,11.77,2,Csb,T5,H3,UNKNOWN,fixed,low,south,residential,2015-2019,T5|H3|UNKNOWN|fixed|low|south|residential|2015-2019,T5:H3
10311,Pvoutput.org Rendezvous Ridge,39.177383,-120.14607,6.25,10.4109,1146696.0,26.25,2,Csb,T5,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T5|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T5:H3
10312,Pvoutput.org cz2,42.48281,-71.313578,6.21,9.8767,984476.0,22.53,2,Dfa,T3,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T3:H3
10313,Pvoutput.org Alden Glen Tracy California,37.738497,-121.447851,4.4,5.6958,602930.0,13.8,2,Csa,T3,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T3:H3
10314,Pvoutput.org Killarney House,38.931312,-76.65248,26.6,10.4821,892682.0,20.43,2,Cfa,T4,H3,UNKNOWN,fixed,high,east,commercial,2010-2014,T4|H3|UNKNOWN|fixed|high|east|commercial|2010-2014,T4:H3
10315,Pvoutput.org David_Everett_Home,32.866313,-116.965089,9.6,10.4767,657910.0,15.06,2,Csa,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10316,Pvoutput.org Carlsbad 4.8KW,33.115157,-117.298608,4.8,10.463,906062.0,20.74,2,Csa,T4,H3,UNKNOWN,fixed,mid,west,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|west|residential|2010-2014,T4:H3
10318,Pvoutput.org Johnston 7KW,30.608471,-90.92758,7.0,10.3479,1070590.0,24.5,2,Cfa,T4,H4,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H4|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H4
10319,Pvoutput.org Wentzville MO,38.808884,-90.85922,10.07,10.4273,1188130.0,27.19,2,Cfa,T4,H3,UNKNOWN,fixed,mid,west,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|west|residential|2010-2014,T4:H3
10320,Pvoutput.org Rue Foret,30.427599,-90.41728,6.0,10.4109,913324.0,20.9,2,Cfa,T4,H4,UNKNOWN,fixed,low,north,residential,2010-2014,T4|H4|UNKNOWN|fixed|low|north|residential|2010-2014,T4:H4
10322,Pvoutput.org Bella Villa MO,38.524066,-90.2895,6.1,10.4219,971826.0,22.24,2,Cfa,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10323,Pvoutput.org Watts Khooller,47.602139,-122.136062,8.1,6.0767,789944.0,18.08,2,Csb,T3,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T3:H3
10325,Pvoutput.org IronRoad,35.474913,-120.676,5.565,10.3972,1045188.0,23.92,2,Csb,T4,H2,UNKNOWN,fixed,low,north,residential,2010-2014,T4|H2|UNKNOWN|fixed|low|north|residential|2010-2014,T4:H2
10326,Pvoutput.org Wolfden Solar,41.086894,-111.9271,6.325,10.2493,1075954.0,24.63,2,Dfb,T4,H2,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H2|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H2
10327,Pvoutput.org SunSparks,28.543025,-81.184531,10.0,8.378,659060.0,15.08,2,Cfa,T5,H4,UNKNOWN,fixed,mid,west,residential,2010-2014,T5|H4|UNKNOWN|fixed|mid|west|residential|2010-2014,T5:H4
10328,Pvoutput.org Welch Residence,33.062547,-117.243477,4.95,5.9342,629084.0,14.4,2,Csa,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10329,Pvoutput.org HomeAtSF,37.749052,-122.442405,3.0,5.8301,624134.0,14.29,2,Csb,T3,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T3:H3
10330,Pvoutput.org Arlington Soul,42.410783,-71.142445,5.565,8.3561,760796.0,17.41,2,Dfa,T3,H3,UNKNOWN,fixed,low,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|low|south|residential|2010-2014,T3:H3
10331,Pvoutput.org Reservoir View,38.913961,-77.07179,6.12,10.2246,845922.0,19.36,2,Cfa,T4,H3,UNKNOWN,fixed,mid,west,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|west|residential|2010-2014,T4:H3
10332,Pvoutput.org Phlerb PV,44.509744,-72.995228,15.08,10.3068,834022.0,19.09,2,Dfb,T3,H3,UNKNOWN,fixed,high,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|high|south|residential|2010-2014,T3:H3
10333,Pvoutput.org Evergreen PV,44.509744,-72.994756,6.76,6.1589,596136.0,13.64,2,Dfb,T3,H3,UNKNOWN,fixed,high,north,residential,2015-2019,T3|H3|UNKNOWN|fixed|high|north|residential|2015-2019,T3:H3
10334,Pvoutput.org Mahaniahschneck,42.646942,-71.1513,10.2,10.178,1038938.0,23.78,2,Dfb,T3,H3,UNKNOWN,fixed,low,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|low|south|residential|2010-2014,T3:H3
10336,Pvoutput.org TNT Solar Array,34.292898,-118.87134,6.0,10.2904,1135372.0,25.99,2,Csb,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10337,Pvoutput.org LCHome,31.766355,-106.29828,5.0,10.2767,807788.0,18.49,2,Bwk,T5,H2,UNKNOWN,fixed,low,south,residential,2010-2014,T5|H2|UNKNOWN|fixed|low|south|residential|2010-2014,T5:H2
10338,Pvoutput.org San Marcos CA 6.0k,33.122029,-117.15605,6.405,8.1589,864706.0,19.79,2,Csa,T4,H3,UNKNOWN,fixed,mid,west,residential,2015-2019,T4|H3|UNKNOWN|fixed|mid|west|residential|2015-2019,T4:H3
10340,Pvoutput.org Mendon Solarflair,42.092006,-71.54474,6.75,10.1671,1064290.0,24.36,2,Dfb,T3,H3,UNKNOWN,fixed,low,west,residential,2010-2014,T3|H3|UNKNOWN|fixed|low|west|residential|2010-2014,T3:H3
10341,Pvoutput.org BelacicSolarSouth,33.975263,-118.35558,3.29,7.1589,742838.0,17.0,2,Csb,T3,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T3:H3
10344,Pvoutput.org mcpcmp,37.779377,-120.796405,7.7,5.663,616224.0,14.1,2,Csa,T3,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T3:H3
10345,Pvoutput.org Kualono King,21.3307,-157.85913,4.485,7.1945,660200.0,15.11,2,Cfb,T5,H3,UNKNOWN,fixed,low,south,residential,2015-2019,T5|H3|UNKNOWN|fixed|low|south|residential|2015-2019,T5:H3
10346,Pvoutput.org Bikerscum,37.932123,-121.70381,6.0,10.2054,361622.0,8.28,2,Csb,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10347,Pvoutput.org Meadow65,41.725195,-72.83032,7.2,10.1041,744662.0,17.04,2,Dfa,T4,H3,UNKNOWN,fixed,high,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|high|south|residential|2010-2014,T4:H3
10348,Pvoutput.org Wapi Jua Kali?,38.941594,-76.96369,5.985,9.6767,694262.0,15.89,2,Cfa,T4,H3,UNKNOWN,fixed,low,south,residential,2015-2019,T4|H3|UNKNOWN|fixed|low|south|residential|2015-2019,T4:H3
10349,Pvoutput.org Casa Mission Viejo,33.628273,-117.631338,10.464,9.9945,1161706.0,26.59,2,Csa,T4,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T4|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T4:H3
10351,Pvoutput.org PachecoInSantaCruz,36.9707,-121.99086,5.46,10.1561,869026.0,19.89,2,Csb,T5,H3,UNKNOWN,fixed,mid,west,residential,2015-2019,T5|H3|UNKNOWN|fixed|mid|west|residential|2015-2019,T5:H3
10352,Pvoutput.org Dan 7.15 kW,33.900378,-117.857657,7.15,10.0657,1023406.0,23.42,2,Csa,T3,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T3:H3
10354,Pvoutput.org PhaedruPanels,47.771539,-122.271029,6.05,7.0739,606744.0,13.89,2,Csb,T3,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T3:H3
10355,Pvoutput.org Brown Road,43.972505,-70.12291,6.72,5.1945,536808.0,12.29,2,Dfb,T3,H3,UNKNOWN,fixed,mid,west,residential,2015-2019,T3|H3|UNKNOWN|fixed|mid|west|residential|2015-2019,T3:H3
10356,Pvoutput.org 14KW PV System,33.035844,-116.8513,14.0,10.0876,1022206.0,23.4,2,Csa,T4,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T4|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T4:H3
10357,Pvoutput.org Santucky Solar,32.8595,-116.963952,7.2,9.1589,325854.0,7.46,2,Csa,T4,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T4|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T4:H3
10358,Pvoutput.org McFadden,45.579597,-122.71137,2.45,8.0739,426574.0,9.76,2,Csb,T3,H3,UNKNOWN,fixed,high,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|high|south|residential|2015-2019,T3:H3
10360,Pvoutput.org La Costa Oaks - Sitio Corazon,33.096906,-117.225168,7.32,9.8602,1012962.0,23.18,2,Csa,T4,H3,UNKNOWN,fixed,mid,west,residential,2015-2019,T4|H3|UNKNOWN|fixed|mid|west|residential|2015-2019,T4:H3
10361,Pvoutput.org MariposaHouse,37.41159,-119.849546,5.88,9.9945,934912.0,21.4,2,Csa,T5,H2,UNKNOWN,fixed,high,west,residential,2015-2019,T5|H2|UNKNOWN|fixed|high|west|residential|2015-2019,T5:H2
10362,Pvoutput.org Fairway Oaks,37.742895,-121.12546,12.19,5.7232,679238.0,15.55,2,Csa,T3,H3,UNKNOWN,fixed,low,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|low|south|residential|2015-2019,T3:H3
10363,Pvoutput.org Hampstead-nh-37,42.880837,-71.18252,9.1,9.0767,897436.0,20.54,2,Dfb,T3,H3,UNKNOWN,fixed,high,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|high|south|residential|2015-2019,T3:H3
10364,Pvoutput.org 26023 Acero Solar,33.611272,-117.66681,19.5,6.1589,671310.0,15.37,2,Csa,T4,H3,UNKNOWN,fixed,mid,west,residential,2015-2019,T4|H3|UNKNOWN|fixed|mid|west|residential|2015-2019,T4:H3
10365,Pvoutput.org one 4 the sun,33.615462,-117.64093,8.71,9.9315,1047952.0,23.99,2,Csa,T4,H3,UNKNOWN,fixed,mid,east,residential,2015-2019,T4|H3|UNKNOWN|fixed|mid|east|residential|2015-2019,T4:H3
10366,Pvoutput.org D. Wang Solar,37.39324,-121.96066,5.98,9.9534,888330.0,20.33,2,Csb,T4,H3,UNKNOWN,fixed,mid,east,residential,2015-2019,T4|H3|UNKNOWN|fixed|mid|east|residential|2015-2019,T4:H3
10369,Pvoutput.org Osborne Jaret,43.080399,-73.77038,8.4,9.7068,874872.0,20.02,2,Dfb,T3,H3,UNKNOWN,fixed,high,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|high|south|residential|2015-2019,T3:H3
10370,Pvoutput.org lumahai2,20.865115,-156.33158,7.15,9.8575,1029242.0,23.56,2,Cfb,T5,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T5|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T5:H3
10371,Pvoutput.org Bhattacharya Solar,37.299474,-121.75446,3.9,9.9397,849124.0,19.43,2,Csb,T5,H2,UNKNOWN,fixed,mid,west,residential,2015-2019,T5|H2|UNKNOWN|fixed|mid|west|residential|2015-2019,T5:H2
10372,Pvoutput.org Schneider_Andrew_Solar,39.020359,-77.0115,2.8,9.441,830366.0,19.01,2,Cfa,T4,H3,UNKNOWN,fixed,low,west,residential,2015-2019,T4|H3|UNKNOWN|fixed|low|west|residential|2015-2019,T4:H3
10373,Pvoutput.org Pickleballers roof - Ashland,42.169751,-122.61772,3.92,9.1041,926272.0,21.2,2,Csb,T3,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T3:H3
10374,Pvoutput.org Poway 12kW,32.973645,-117.03701,12.0,6.1589,651676.0,14.92,2,Bsk,T4,H3,UNKNOWN,fixed,mid,west,residential,2015-2019,T4|H3|UNKNOWN|fixed|mid|west|residential|2015-2019,T4:H3
10375,Pvoutput.org petsche,42.496679,-71.27504,6.21,9.9232,335246.0,7.67,2,Dfa,T3,H3,UNKNOWN,fixed,low,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|low|south|residential|2015-2019,T3:H3
10376,Pvoutput.org Free Energy!,32.945021,-117.13526,5.775,9.7424,996236.0,22.8,2,Bsk,T4,H3,UNKNOWN,fixed,mid,west,residential,2015-2019,T4|H3|UNKNOWN|fixed|mid|west|residential|2015-2019,T4:H3
10377,Pvoutput.org ThompsonPV,40.697907,-82.464016,6.12,6.0767,627182.0,14.36,2,Dfb,T3,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T3:H3
10378,Pvoutput.org Arabia Fats,40.6949,-73.65394,7.5,9.8767,344090.0,7.88,2,Cfa,T3,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T3:H3
10379,Pvoutput.org Milligan Family,43.026284,-78.69304,6.12,9.8356,859520.0,19.67,2,Dfb,T3,H3,UNKNOWN,fixed,mid,west,residential,2015-2019,T3|H3|UNKNOWN|fixed|mid|west|residential|2015-2019,T3:H3
10380,Pvoutput.org Electric Gel,40.38584,-111.73333,9.945,9.7808,1048254.0,23.99,2,Dfa,T4,H2,UNKNOWN,fixed,low,south,residential,2015-2019,T4|H2|UNKNOWN|fixed|low|south|residential|2015-2019,T4:H2
10381,Pvoutput.org CalHeightsJim,33.828366,-118.18235,6.16,9.6986,918690.0,21.03,2,Csa,T3,H3,UNKNOWN,fixed,low,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|low|south|residential|2015-2019,T3:H3
10383,Pvoutput.org Dragons Lair,37.380207,-122.08787,4.59,9.5698,1021830.0,23.39,2,Csb,T5,H2,UNKNOWN,fixed,low,west,residential,2015-2019,T5|H2|UNKNOWN|fixed|low|west|residential|2015-2019,T5:H2
10384,Pvoutput.org Kahng Home,34.231754,-119.05258,10.725,9.841,1083506.0,24.8,2,Csb,T4,H3,UNKNOWN,fixed,low,north,residential,2015-2019,T4|H3|UNKNOWN|fixed|low|north|residential|2015-2019,T4:H3
10385,Pvoutput.org Simi,34.265003,-118.77177,6.25,7.8767,759766.0,17.39,2,Csb,T4,H3,UNKNOWN,fixed,mid,north,residential,2015-2019,T4|H3|UNKNOWN|fixed|mid|north|residential|2015-2019,T4:H3
