system_id,system_public_name,latitude,longitude,dc_capacity_kW,years,number_records,dataset_size_mb,available_sensor_channels,kg_climate,A_PVCZ_T,A_PVCZ_H,A_MOUNT,A_TRACK,A_TILT,A_AZ,A_CAP,A_VINT,P0_cell,P0_primary_TH
10070,Pvoutput.org G & D Solar Array,38.22309,-86.86155,4.41,12.0739,1165888.0,26.69,2,Cfa,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10071,Pvoutput.org Photon Ranch,40.275042,-120.523978,5.355,12.6657,1338150.0,30.63,2,Csb,T5,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T5|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T5:H3
10072,Pvoutput.org Luciani - 1 Montgomery Dr,40.515645,-74.85319,6.12,10.7616,887048.0,20.3,2,Cfa,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10073,Pvoutput.org Trade Nguyen Solar,20.889294,-156.50497,8.64,12.6438,1344856.0,30.78,2,Cfb,T5,H3,UNKNOWN,fixed,low,south,residential,2010-2014,T5|H3|UNKNOWN|fixed|low|south|residential|2010-2014,T5:H3
10074,Pvoutput.org Bedford ground mounted array,42.942551,-71.51993,5.28,11.5643,961358.0,22.0,2,Dfb,T3,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T3:H3
10075,Pvoutput.org Hekman,34.033564,-117.03776,6.375,6.0739,650928.0,14.9,2,Csa,T3,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T3:H3
10076,Pvoutput.org White,40.595359,-77.5774,7.05,12.589,1211288.0,27.72,2,Dfb,T3,H3,UNKNOWN,fixed,high,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|high|south|residential|2010-2014,T3:H3
10077,Pvoutput.org Trinity Farm-Faith/Family/Fun,39.012404,-94.21156,5.76,11.0739,854846.0,19.57,2,Cfa,T4,H3,UNKNOWN,fixed,high,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|high|south|residential|2010-2014,T4:H3
10078,Pvoutput.org Kilowatt,38.891257,-76.989082,6.48,9.0739,1070226.0,24.5,2,Cfa,T4,H3,UNKNOWN,fixed,mid,west,residential,2015-2019,T4|H3|UNKNOWN|fixed|mid|west|residential|2015-2019,T4:H3
10079,Pvoutput.org Johns Lair,36.864488,-119.625961,6.0,12.5616,1227410.0,28.09,2,Bsk,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10080,Pvoutput.org SUNVLY,41.664582,-87.84378,12.9,10.6602,1088042.0,24.9,2,Dfa,T3,H3,UNKNOWN,fixed,low,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|low|south|residential|2010-2014,T3:H3
10081,Pvoutput.org Squire Oaks Farm,39.279498,-77.651917,4.4,12.1589,1550856.0,35.5,2,Cfa,T4,H3,UNKNOWN,fixed,high,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|high|south|residential|2010-2014,T4:H3
10082,Pvoutput.org SunnyDaze,41.618754,-70.867667,3.536,12.5232,1315134.0,30.1,2,Cfa,T3,H3,UNKNOWN,fixed,mid,west,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|west|residential|2010-2014,T3:H3
10083,Pvoutput.org 8ynEvD8dUjo6,21.284,-157.79925,4.59,12.5726,1369668.0,31.35,2,Cfb,T5,H3,UNKNOWN,fixed,low,east,residential,2010-2014,T5|H3|UNKNOWN|fixed|low|east|residential|2010-2014,T5:H3
10085,Pvoutput.org Benbrook TX,32.714084,-97.455784,6.72,6.1589,647906.0,14.83,2,Cfa,T5,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T5|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T5:H3
10086,Pvoutput.org Morgan Venice FL,27.091783,-82.44846,9.4,12.4986,1229334.0,28.14,2,Cfa,T5,H4,UNKNOWN,fixed,low,south,residential,2010-2014,T5|H4|UNKNOWN|fixed|low|south|residential|2010-2014,T5:H4
10087,Pvoutput.org Hawaii Kai,21.2946,-157.69721,4.335,12.5698,1352694.0,30.96,2,Cfb,T5,H3,UNKNOWN,fixed,low,north,residential,2010-2014,T5|H3|UNKNOWN|fixed|low|north|residential|2010-2014,T5:H3
10088,Pvoutput.org Justine Home,33.081421,-96.88957,2.5,10.5972,1087220.0,24.88,2,Cfa,T5,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T5|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T5:H3
10089,Pvoutput.org DnS Solar,44.726517,-92.86147,14.4,12.5506,1329270.0,30.42,2,Dfa,T3,H3,UNKNOWN,fixed,high,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|high|south|residential|2010-2014,T3:H3
10090,Pvoutput.org Home of Happy Cats,39.131705,-77.14981,24.605,12.5315,1418820.0,32.47,2,Cfa,T4,H3,UNKNOWN,fixed,mid,south,commercial,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|commercial|2010-2014,T4:H3
10092,Pvoutput.org TucsonSunshine,32.216326,-110.88511,4.725,12.441,1416780.0,32.43,2,Bsh,T5,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T5|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T5:H3
10093,Pvoutput.org VTBuswell-Enphase,44.444429,-73.018273,6.3,10.5506,864808.0,19.79,2,Dfb,T3,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T3:H3
10094,Pvoutput.org zimmerman,42.318695,-71.42344,6.37,6.1589,656178.0,15.02,2,Dfa,T3,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T3:H3
